player_name,player_link,player_birthday,player_current_team,player_handedness,player_position,player_image
A.C. Green,https://www.basketball-reference.com/players/g/greenac01.html,1963-10-04,Free Agent / Retired,Right,Power Forward and Small Forward,https://www.basketball-reference.com/req/202106291/images/headshots/greenac01.jpg
A.J. Bramlett,https://www.basketball-reference.com/players/b/bramlaj01.html,1977-01-10,Free Agent / Retired,Right,Center,
A.J. Green,https://www.basketball-reference.com/players/g/greenaj01.html,1999-09-27,Milwaukee Bucks,Right,Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/greenaj01.jpg
A.J. Guyton,https://www.basketball-reference.com/players/g/guytoaj01.html,1978-02-12,Free Agent / Retired,Right,Point Guard,
A.J. Hammons,https://www.basketball-reference.com/players/h/hammoaj01.html,1992-08-27,Free Agent / Retired,Right,Center,https://www.basketball-reference.com/req/202106291/images/headshots/hammoaj01.jpg
A.J. Lawson,https://www.basketball-reference.com/players/l/lawsoaj01.html,2000-07-15,Toronto Raptors,Right,Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/lawsoaj01.jpg
A.J. Price,https://www.basketball-reference.com/players/p/priceaj01.html,1986-10-07,Free Agent / Retired,Right,Point Guard and Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/priceaj01.jpg
AJ Griffin,https://www.basketball-reference.com/players/g/griffaj01.html,2003-08-25,Free Agent / Retired,Right,Small Forward,https://www.basketball-reference.com/req/202106291/images/headshots/griffaj01.jpg
AJ Johnson,https://www.basketball-reference.com/players/j/johnsaj01.html,2004-12-01,Milwaukee Bucks,Right,Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/johnsaj01.jpg
Aaron Brooks,https://www.basketball-reference.com/players/b/brookaa01.html,1985-01-14,Free Agent / Retired,Right,Point Guard,https://www.basketball-reference.com/req/202106291/images/headshots/brookaa01.jpg
Aaron Gordon,https://www.basketball-reference.com/players/g/gordoaa01.html,1995-09-16,Denver Nuggets,Right,Power Forward and Small Forward,https://www.basketball-reference.com/req/202106291/images/headshots/gordoaa01.jpg
Aaron Gray,https://www.basketball-reference.com/players/g/grayaa01.html,1984-12-07,Free Agent / Retired,Right,Center,https://www.basketball-reference.com/req/202106291/images/headshots/grayaa01.jpg
Aaron Harrison,https://www.basketball-reference.com/players/h/harriaa01.html,1994-10-28,Free Agent / Retired,Right,Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/harriaa01.jpg
Aaron Henry,https://www.basketball-reference.com/players/h/henryaa01.html,1999-08-30,Free Agent / Retired,Left,Small Forward,https://www.basketball-reference.com/req/202106291/images/headshots/henryaa01.jpg
Aaron Holiday,https://www.basketball-reference.com/players/h/holidaa01.html,1996-09-30,Houston Rockets,Right,Point Guard,https://www.basketball-reference.com/req/202106291/images/headshots/holidaa01.jpg
Aaron Jackson,https://www.basketball-reference.com/players/j/jacksaa01.html,1986-05-06,Free Agent / Retired,Right,Point Guard,https://www.basketball-reference.com/req/202106291/images/headshots/jacksaa01.jpg
Aaron McKie,https://www.basketball-reference.com/players/m/mckieaa01.html,1972-10-02,Free Agent / Retired,Right,Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/mckieaa01.jpg
Aaron Miles,https://www.basketball-reference.com/players/m/milesaa01.html,1983-04-13,Free Agent / Retired,Right,Point Guard,https://www.basketball-reference.com/req/202106291/images/headshots/milesaa01.jpg
