Player Name,Player Link,Player Birthday,Player Current Team,Player Image
A.J. Green,https://www.basketball-reference.com/players/g/greenaj01.html,1999-09-27,Milwaukee Bucks,https://www.basketball-reference.com/req/202106291/images/headshots/greenaj01.jpg
A.J. Lawson,https://www.basketball-reference.com/players/l/lawsoaj01.html,2000-07-15,Toronto Raptors,https://www.basketball-reference.com/req/202106291/images/headshots/lawsoaj01.jpg
AJ Johnson,https://www.basketball-reference.com/players/j/johnsaj01.html,2004-12-01,Milwaukee Bucks,https://www.basketball-reference.com/req/202106291/images/headshots/johnsaj01.jpg
Aaron Gordon,https://www.basketball-reference.com/players/g/gordoaa01.html,1995-09-16,Denver Nuggets,https://www.basketball-reference.com/req/202106291/images/headshots/gordoaa01.jpg
Aaron Holiday,https://www.basketball-reference.com/players/h/holidaa01.html,1996-09-30,Houston Rockets,https://www.basketball-reference.com/req/202106291/images/headshots/holidaa01.jpg
Aaron Nesmith,https://www.basketball-reference.com/players/n/nesmiaa01.html,1999-10-16,Indiana Pacers,https://www.basketball-reference.com/req/202106291/images/headshots/nesmiaa01.jpg
Aaron Wiggins,https://www.basketball-reference.com/players/w/wiggiaa01.html,1999-01-02,Oklahoma City Thunder,https://www.basketball-reference.com/req/202106291/images/headshots/wiggiaa01.jpg
Adam Flagler,https://www.basketball-reference.com/players/f/flaglad01.html,1999-12-01,Free Agent / Retired,https://www.basketball-reference.com/req/202106291/images/headshots/flaglad01.jpg
Adama Sanogo,https://www.basketball-reference.com/players/s/sanogad01.html,2002-02-12,Chicago Bulls,https://www.basketball-reference.com/req/202106291/images/headshots/sanogad01.jpg
Adem Bona,https://www.basketball-reference.com/players/b/bonaad01.html,2003-03-28,Philadelphia 76ers,https://www.basketball-reference.com/req/202106291/images/headshots/bonaad01.jpg
Ajay Mitchell,https://www.basketball-reference.com/players/m/mitchaj01.html,2002-06-25,Oklahoma City Thunder,https://www.basketball-reference.com/req/202106291/images/headshots/mitchaj01.jpg
Al Horford,https://www.basketball-reference.com/players/h/horfoal01.html,1986-06-03,Boston Celtics,https://www.basketball-reference.com/req/202106291/images/headshots/horfoal01.jpg
