Season,Player Name,NBA Player ID,Team,Age,Height,Weight
1996-97,A.C. Green,920,DAL,33,6-9,225
1996-97,Aaron McKie,243,DET,24,6-5,209
1996-97,Aaron Williams,1425,VAN,25,6-9,225
1996-97,Acie Earl,768,MIL,27,6-11,240
1996-97,Adam Keefe,228,UTA,27,6-9,241
1996-97,Adrian Caldwell,154,PHI,30,6-8,265
1996-97,Alan Henderson,673,ATL,24,6-9,235
1996-97,Aleksandar Djordjevic,1059,POR,29,6-2,198
1996-97,Allan Houston,275,NYK,26,6-6,200
1996-97,Allen Iverson,947,PHI,22,6-0,165
1996-97,Alonzo Mourning,297,MIA,27,6-10,261
1996-97,Alton Lister,175,BOS,38,7-0,245
1996-97,Amal McCaskill,1043,ORL,23,6-11,235
1996-97,Andrew DeClercq,692,GSW,24,6-10,230
1996-97,Andrew Lang,457,MIL,31,6-11,275
1996-97,Anfernee Hardaway,358,ORL,25,6-7,215
1996-97,Anthony Goldwire,924,DEN,25,6-2,182
1996-97,Anthony Mason,193,CHH,30,6-8,250
1996-97,Anthony Miller,292,ATL,25,6-9,255
1996-97,Anthony Peeler,324,VAN,27,6-4,208
1996-97,Antoine Carr,156,UTA,35,6-9,255
1996-97,Antoine Walker,952,BOS,20,6-9,224
1996-97,Antonio Davis,213,IND,28,6-9,230
1996-97,Antonio Harvey,176,SEA,26,6-11,225
1996-97,Antonio Lang,226,CLE,25,6-8,230
1996-97,Antonio McDyess,686,DEN,22,6-9,220
1996-97,Armen Gilliam,288,MIL,33,6-9,260
1996-97,Arvydas Sabonis,717,POR,32,7-3,292
1996-97,Ashraf Amaya,732,WAS,25,6-8,230
1996-97,Avery Johnson,422,SAS,32,5-11,180
1996-97,B.J. Armstrong,769,GSW,29,6-2,175
1996-97,Ben Davis,989,PHX,24,6-9,240
1996-97,Ben Wallace,1112,WAS,22,6-9,240
1996-97,Benoit Benjamin,104,TOR,32,7-0,250
1996-97,Bill Wennington,82,CHI,34,7-0,245
1996-97,Billy Owens,182,SAC,28,6-9,225
1996-97,Bimbo Coles,902,GSW,29,6-2,182
1996-97,Bison Dele,183,CHI,28,6-11,260
1996-97,Blue Edwards,898,VAN,31,6-4,228
1996-97,Bo Outlaw,448,LAC,26,6-8,210
1996-97,Bob Sura,682,CLE,24,6-5,200
1996-97,Bobby Hurley,310,SAC,26,6-0,165
1996-97,Bobby Phills,184,CLE,27,6-5,220
1996-97,Brad Lohaus,38,TOR,32,6-11,230
1996-97,Brent Barry,699,LAC,25,6-6,195
1996-97,Brent Price,85,HOU,28,6-1,185
1996-97,Brent Scott,1064,IND,26,6-10,250
1996-97,Brett Szabo,1136,BOS,29,6-11,230
1996-97,Brian Evans,967,ORL,23,6-8,220
1996-97,Brian Grant,258,SAC,25,6-9,254
1996-97,Brian Shaw,216,ORL,31,6-6,200
1996-97,Brooks Thompson,240,DEN,26,6-4,193
1996-97,Bruce Bowen,1477,MIA,26,6-7,200
1996-97,Bryant Reeves,735,VAN,24,7-0,275
1996-97,Bryant Stith,179,DEN,26,6-5,208
1996-97,Bryon Russell,935,UTA,26,6-7,225
1996-97,Buck Williams,433,NYK,37,6-8,225
1996-97,Byron Scott,2,LAL,36,6-4,205
1996-97,Calbert Cheaney,384,WAS,25,6-7,215
1996-97,Carl Herrera,61,SAS,30,6-9,225
1996-97,Carl Thomas,1063,CLE,27,6-4,175
1996-97,Carlos Rogers,435,TOR,26,6-11,220
1996-97,Cedric Ceballos,76,PHX,27,6-7,225
1996-97,Charles Barkley,787,HOU,34,6-6,252
1996-97,Charles Jones,279,HOU,40,6-9,215
1996-97,Charles Oakley,891,NYK,33,6-9,245
1996-97,Charles Smith,293,SAS,31,6-10,244
1996-97,Charlie Ward,369,NYK,26,6-2,190
1996-97,Cherokee Parks,685,MIN,24,6-11,240
1996-97,Chris Carr,713,MIN,23,6-6,220
1996-97,Chris Childs,164,NYK,29,6-3,195
1996-97,Chris Dudley,201,POR,32,6-11,240
1996-97,Chris Gatling,423,NJN,29,6-10,230
1996-97,Chris Jent,1137,NYK,27,6-7,220
1996-97,Chris Mills,168,CLE,27,6-7,216
1996-97,Chris Morris,356,UTA,31,6-8,220
1996-97,Chris Mullin,904,GSW,33,6-7,215
1996-97,Chris Robinson,997,VAN,23,6-5,200
1996-97,Chris Webber,185,WAS,24,6-10,245
