season,week,day,status,team1,team1_id,team1_score,team2,team2_id,team2_score,winning_team,stadium,city_state,game_id
2024-25,Week 1 (Oct 22 - Oct 27),10-22-2024,Final,New York Knicks,1610612752,109.0,Boston Celtics,1610612738,132.0,Boston Celtics,TD Garden,"Boston, MA",0022400061
2024-25,Week 1 (Oct 22 - Oct 27),10-22-2024,Final,Minnesota Timberwolves,1610612750,103.0,Los Angeles Lakers,1610612747,110.0,Los Angeles Lakers,Crypto.com Arena,"Los Angeles, CA",0022400062
2024-25,Week 1 (Oct 22 - Oct 27),10-23-2024,Final,Indiana Pacers,1610612754,115.0,Detroit Pistons,1610612765,109.0,Indiana Pacers,Little Caesars Arena,"Detroit, MI",0022400063
2024-25,Week 1 (Oct 22 - Oct 27),10-23-2024,Final,Brooklyn Nets,1610612751,116.0,Atlanta Hawks,1610612737,120.0,Atlanta Hawks,State Farm Arena,"Atlanta, GA",0022400064
2024-25,Week 1 (Oct 22 - Oct 27),10-23-2024,Final,Orlando Magic,1610612753,116.0,Miami Heat,1610612748,97.0,Orlando Magic,Kaseya Center,"Miami, FL",0022400065
2024-25,Week 1 (Oct 22 - Oct 27),10-23-2024,Final,Milwaukee Bucks,1610612749,124.0,Philadelphia 76ers,1610612755,109.0,Milwaukee Bucks,Wells Fargo Center,"Philadelphia, PA",0022400066
2024-25,Week 1 (Oct 22 - Oct 27),10-23-2024,Final,Cleveland Cavaliers,1610612739,136.0,Toronto Raptors,1610612761,106.0,Cleveland Cavaliers,Scotiabank Arena,"Toronto, ON",0022400067
2024-25,Week 1 (Oct 22 - Oct 27),10-23-2024,Final,Charlotte Hornets,1610612766,110.0,Houston Rockets,1610612745,105.0,Charlotte Hornets,Toyota Center,"Houston, TX",0022400068
2024-25,Week 1 (Oct 22 - Oct 27),10-23-2024,Final,Chicago Bulls,1610612741,111.0,New Orleans Pelicans,1610612740,123.0,New Orleans Pelicans,Smoothie King Center,"New Orleans, LA",0022400069
2024-25,Week 1 (Oct 22 - Oct 27),10-23-2024,Final,Memphis Grizzlies,1610612763,126.0,Utah Jazz,1610612762,124.0,Memphis Grizzlies,Delta Center,"Salt Lake City, UT",0022400070
2024-25,Week 1 (Oct 22 - Oct 27),10-23-2024,Final/OT,Phoenix Suns,1610612756,116.0,LA Clippers,1610612746,113.0,Phoenix Suns,Intuit Dome,"Inglewood, CA",0022400071
2024-25,Week 1 (Oct 22 - Oct 27),10-23-2024,Final,Golden State Warriors,1610612744,140.0,Portland Trail Blazers,1610612757,104.0,Golden State Warriors,Moda Center,"Portland, OR",0022400072
2024-25,Week 1 (Oct 22 - Oct 27),10-24-2024,Final,Boston Celtics,1610612738,122.0,Washington Wizards,1610612764,102.0,Boston Celtics,Capital One Arena,"Washington, DC",0022400073
2024-25,Week 1 (Oct 22 - Oct 27),10-24-2024,Final,San Antonio Spurs,1610612759,109.0,Dallas Mavericks,1610612742,120.0,Dallas Mavericks,American Airlines Center,"Dallas, TX",0022400074
2024-25,Week 1 (Oct 22 - Oct 27),10-24-2024,Final,Oklahoma City Thunder,1610612760,102.0,Denver Nuggets,1610612743,87.0,Oklahoma City Thunder,Ball Arena,"Denver, CO",0022400075
2024-25,Week 1 (Oct 22 - Oct 27),10-24-2024,Final,Minnesota Timberwolves,1610612750,117.0,Sacramento Kings,1610612758,115.0,Minnesota Timberwolves,Golden 1 Center,"Sacramento, CA",0022400076
2024-25,Week 1 (Oct 22 - Oct 27),10-25-2024,Final,Brooklyn Nets,1610612751,101.0,Orlando Magic,1610612753,116.0,Orlando Magic,Kia Center,"Orlando, FL",0022400077
2024-25,Week 1 (Oct 22 - Oct 27),10-25-2024,Final,Philadelphia 76ers,1610612755,107.0,Toronto Raptors,1610612761,115.0,Toronto Raptors,Scotiabank Arena,"Toronto, ON",0022400078
2024-25,Week 1 (Oct 22 - Oct 27),10-25-2024,Final,Charlotte Hornets,1610612766,120.0,Atlanta Hawks,1610612737,125.0,Atlanta Hawks,State Farm Arena,"Atlanta, GA",0022400079
2024-25,Week 1 (Oct 22 - Oct 27),10-25-2024,Final,Detroit Pistons,1610612765,101.0,Cleveland Cavaliers,1610612739,113.0,Cleveland Cavaliers,Rocket Mortgage FieldHouse,"Cleveland, OH",0022400080
2024-25,Week 1 (Oct 22 - Oct 27),10-25-2024,Final,Indiana Pacers,1610612754,98.0,New York Knicks,1610612752,123.0,New York Knicks,Madison Square Garden,"New York, NY",0022400081
2024-25,Week 1 (Oct 22 - Oct 27),10-25-2024,Final,Memphis Grizzlies,1610612763,108.0,Houston Rockets,1610612745,128.0,Houston Rockets,Toyota Center,"Houston, TX",0022400082
2024-25,Week 1 (Oct 22 - Oct 27),10-25-2024,Final,Chicago Bulls,1610612741,133.0,Milwaukee Bucks,1610612749,122.0,Chicago Bulls,Fiserv Forum,"Milwaukee, WI",0022400083
2024-25,Week 1 (Oct 22 - Oct 27),10-25-2024,Final,Golden State Warriors,1610612744,127.0,Utah Jazz,1610612762,86.0,Golden State Warriors,Delta Center,"Salt Lake City, UT",0022400084
2024-25,Week 1 (Oct 22 - Oct 27),10-25-2024,Final,Phoenix Suns,1610612756,116.0,Los Angeles Lakers,1610612747,123.0,Los Angeles Lakers,Crypto.com Arena,"Los Angeles, CA",0022400085
2024-25,Week 1 (Oct 22 - Oct 27),10-25-2024,Final,New Orleans Pelicans,1610612740,105.0,Portland Trail Blazers,1610612757,103.0,New Orleans Pelicans,Moda Center,"Portland, OR",0022400086
2024-25,Week 1 (Oct 22 - Oct 27),10-26-2024,Final,LA Clippers,1610612746,109.0,Denver Nuggets,1610612743,104.0,LA Clippers,Ball Arena,"Denver, CO",0022400087
2024-25,Week 1 (Oct 22 - Oct 27),10-26-2024,Final,Miami Heat,1610612748,114.0,Charlotte Hornets,1610612766,106.0,Miami Heat,Spectrum Center,"Charlotte, NC",0022400088
2024-25,Week 1 (Oct 22 - Oct 27),10-26-2024,Final,Boston Celtics,1610612738,124.0,Detroit Pistons,1610612765,118.0,Boston Celtics,Little Caesars Arena,"Detroit, MI",0022400089
2024-25,Week 1 (Oct 22 - Oct 27),10-26-2024,Final,Cleveland Cavaliers,1610612739,135.0,Washington Wizards,1610612764,116.0,Cleveland Cavaliers,Capital One Arena,"Washington, DC",0022400090
2024-25,Week 1 (Oct 22 - Oct 27),10-26-2024,Final,Oklahoma City Thunder,1610612760,114.0,Chicago Bulls,1610612741,95.0,Oklahoma City Thunder,United Center,"Chicago, IL",0022400091
2024-25,Week 1 (Oct 22 - Oct 27),10-26-2024,Final,Orlando Magic,1610612753,111.0,Memphis Grizzlies,1610612763,124.0,Memphis Grizzlies,FedExForum,"Memphis, TN",0022400092
2024-25,Week 1 (Oct 22 - Oct 27),10-26-2024,Final,Toronto Raptors,1610612761,101.0,Minnesota Timberwolves,1610612750,112.0,Minnesota Timberwolves,Target Center,"Minneapolis, MN",0022400093
2024-25,Week 1 (Oct 22 - Oct 27),10-26-2024,Final,Houston Rockets,1610612745,106.0,San Antonio Spurs,1610612759,109.0,San Antonio Spurs,Frost Bank Center,"San Antonio, TX",0022400094
2024-25,Week 1 (Oct 22 - Oct 27),10-26-2024,Final,Dallas Mavericks,1610612742,102.0,Phoenix Suns,1610612756,114.0,Phoenix Suns,Footprint Center,"Phoenix, AZ",0022400095
